5 Seconds of Summer,2
Alan Walker,1
Alec Benjamin,1
Ali Gatie,2
Anne-Marie,1
Ant Saunders,1
Anuel AA,2
Arcangel,1
Ariana Grande,2
Arizona Zervas,1
Ava Max,1
Bad Bunny,2
Bazzi,1
benny blanco,1
Billie Eilish,7
blackbear,2
BROCKHAMPTON,1
BTS,1
Camila Cabello,1
Camilo,1
Chris Brown,1
Conan Gray,1
DaBaby,4
Daddy Yankee,3
Dalex,2
Dan + Shay,1
Dimelo Flow,1
DJ Snake,1
Doja Cat,1
Dominic Fike,1
Don Toliver,1
Drake,2
Dua Lipa,2
Ed Sheeran,5
Ellie Goulding,1
Eminem,1
Future,1
G-Eazy,1
Gusttavo Lima,1
Halsey,2
Harry Styles,3
Henrique & Juliano,1
Imagine Dragons,2
J Balvin,4
J. Cole,1
Jack Harlow,1
JACKBOYS,1
James Arthur,1
Jhay Cortez,2
John Legend,1
Joji,2
Joker Bra,1
Jonas Brothers,3
JP Saxe,1
Juice WRLD,3
Justin Bieber,3
Justin Quiles,1
KAROL G,1
Khalid,3
Kina,2
Kygo,2
Lady Gaga,1
Lauv,1
Lewis Capaldi,3
Lil Baby,1
Lil Mosey,1
Lil Nas X,2
Lil Tecca,1
Lil Uzi Vert,1
Lil Wayne,1
Lizzo,2
Lunay,2
Mac Miller,1
Major Lazer,1
Maluma,1
Maroon 5,2
Marshmello,1
Matthew Wilder,1
MEDUZA,2
Meek Mill,1
Mustard,1
Myke Towers,1
Niall Horan,1
Nicki Minaj,1
Nicky Jam,2
Noah Cyrus,1
Panic! At The Disco,1
Pedro Sampaio,1
Piso 21,1
Post Malone,6
Queen,2
Rauw Alejandro,1
Regard,1
Reik,1
Rich Music LTD,2
Riton,1
Roddy Ricch,2
ROSALÍA,2
SAINt JHN,1
Sam Feldt,1
Sam Smith,2
Sech,2
Selena Gomez,2
SHAED,1
Shakira,2
Shawn Mendes,2
Stormzy,1
Surfaces,1
Tainy,1
Taylor Swift,2
The Black Eyed Peas,1
The Chainsmokers,2
The Weeknd,2
Thiaguinho MT,1
TOKYO’S REVENGE,1
Tones and I,2
Tory Lanez,1
Travis Scott,4
Trevor Daniel,1
Trippie Redd,1
Tyga,1
Tyler, The Creator,1
XXXTENTACION,3
Y2K,1
YNW Melly,2
